D:\Documents and Settings\All Users\Documents\Thermo\PolySoft\Projects\JanLDHTEST Dec2015.pmp\JanDec_0013.pld


 ;t [min];Revolution Speed [1/min];Torque [Nm];TM [°C];E [kJ];
1-1;0.01095;49.97;17.00;185.4;0.01461;
1-2;0.02762;49.97;14.60;175.9;0.09730;
1-3;0.04428;49.97;12.30;171.0;0.168;
1-4;0.06095;49.97;12.20;163.6;0.232;
1-5;0.07762;49.97;11.50;159.0;0.294;
1-6;0.09428;49.97;10.60;157.3;0.352;
1-7;0.111;49.97;9.900;154.9;0.405;
1-8;0.128;49.97;10.10;153.9;0.458;
1-9;0.144;49.97;9.500;153.7;0.509;
1-10;0.161;49.97;9.300;153.5;0.558;
1-11;0.178;49.97;9.200;153.6;0.606;
1-12;0.194;49.97;8.500;153.7;0.653;
1-13;0.211;49.97;8.800;153.7;0.698;
1-14;0.228;49.97;8.300;154.1;0.743;
1-15;0.244;49.97;7.900;154.3;0.785;
1-16;0.261;49.97;7.800;155.0;0.826;
1-17;0.278;49.97;7.700;155.7;0.867;
1-18;0.294;49.97;7.600;156.2;0.907;
1-19;0.311;49.97;7.400;157.0;0.946;
1-20;0.328;49.97;7.500;157.9;0.985;
1-21;0.344;49.97;7.500;158.4;1.024;
1-22;0.361;49.97;7.300;159.4;1.063;
1-23;0.378;49.97;7.300;160.4;1.101;
1-24;0.394;49.97;7.400;161.0;1.140;
1-25;0.411;49.97;7.200;162.1;1.178;
1-26;0.428;49.97;7.200;163.1;1.216;
1-27;0.444;49.97;7.200;163.6;1.253;
1-28;0.461;49.97;7.200;164.5;1.291;
1-29;0.478;49.97;7.000;165.5;1.328;
1-30;0.494;49.97;7.000;166.0;1.365;
1-31;0.511;49.97;7.000;166.9;1.401;
1-32;0.528;49.97;7.000;167.8;1.438;
1-33;0.544;49.97;6.900;168.2;1.474;
1-34;0.561;49.97;6.800;169.1;1.510;
1-35;0.578;49.97;6.900;169.8;1.546;
1-36;0.594;49.97;6.700;170.2;1.582;
1-37;0.611;49.97;6.600;170.9;1.617;
1-38;0.628;49.97;6.700;171.7;1.651;
1-39;0.644;49.97;6.700;172.0;1.686;
1-40;0.661;49.97;6.500;172.7;1.721;
1-41;0.678;49.97;6.500;173.3;1.755;
1-42;0.694;49.97;6.400;173.5;1.789;
1-43;0.711;49.97;6.200;174.1;1.822;
1-44;0.728;49.97;6.300;174.8;1.855;
1-45;0.745;49.97;6.100;175.1;1.887;
1-46;0.761;49.97;6.100;175.6;1.919;
1-47;0.778;49.97;6.000;176.1;1.951;
1-48;0.795;49.97;5.900;176.4;1.982;
1-49;0.811;49.97;5.800;177.0;2.013;
1-50;0.828;49.97;5.800;177.5;2.043;
1-51;0.845;49.97;5.900;177.7;2.074;
1-52;0.861;49.97;5.800;178.1;2.104;
1-53;0.878;49.97;5.900;178.5;2.135;
1-54;0.895;49.97;5.700;178.8;2.165;
1-55;0.911;49.97;5.700;179.2;2.195;
1-56;0.928;49.97;5.600;179.6;2.225;
1-57;0.945;49.97;5.500;179.8;2.254;
1-58;0.961;49.97;5.600;180.1;2.283;
1-59;0.978;49.97;5.600;180.5;2.312;
1-60;0.995;49.97;5.600;180.7;2.341;
1-61;1.011;49.97;5.500;181.0;2.370;
1-62;1.028;49.97;5.400;181.2;2.399;
1-63;1.045;49.97;5.200;181.4;2.427;
1-64;1.061;49.97;5.300;181.7;2.454;
1-65;1.078;49.97;5.200;182.0;2.482;
1-66;1.095;49.97;5.100;182.1;2.509;
1-67;1.111;49.97;5.100;182.5;2.535;
1-68;1.128;49.97;5.000;182.7;2.562;
1-69;1.145;49.97;4.900;183.0;2.588;
1-70;1.161;49.97;5.000;183.1;2.613;
1-71;1.178;49.97;5.000;183.4;2.640;
1-72;1.195;49.97;4.900;183.7;2.666;
1-73;1.211;49.97;4.800;183.8;2.691;
1-74;1.228;49.97;4.900;184.1;2.716;
1-75;1.245;49.97;4.700;184.4;2.741;
1-76;1.261;49.97;4.800;184.6;2.766;
1-77;1.278;49.97;4.700;184.8;2.791;
1-78;1.295;49.97;4.700;185.1;2.816;
1-79;1.311;49.97;4.700;185.2;2.840;
1-80;1.328;49.97;4.700;185.4;2.865;
1-81;1.345;49.97;4.600;185.7;2.889;
1-82;1.361;49.97;4.700;185.8;2.914;
1-83;1.378;49.97;4.700;186.0;2.938;
1-84;1.395;49.97;4.600;186.2;2.962;
1-85;1.411;49.97;4.700;186.4;2.987;
1-86;1.428;49.97;4.600;186.7;3.011;
1-87;1.445;49.97;4.500;187.0;3.035;
1-88;1.461;49.97;4.500;187.1;3.059;
1-89;1.478;49.97;4.500;187.2;3.082;
1-90;1.495;49.97;4.400;187.4;3.105;
1-91;1.511;49.97;4.300;187.4;3.128;
1-92;1.528;49.97;4.300;187.6;3.151;
1-93;1.545;49.97;4.300;187.7;3.173;
1-94;1.561;49.97;4.300;187.8;3.196;
1-95;1.578;49.97;4.300;188.0;3.218;
1-96;1.595;49.97;4.400;188.2;3.241;
1-97;1.611;49.97;4.400;188.3;3.264;
1-98;1.628;49.97;4.300;188.5;3.287;
1-99;1.645;49.97;4.300;188.6;3.309;
1-100;1.661;49.97;4.300;188.8;3.332;
1-101;1.678;49.97;4.300;189.0;3.354;
1-102;1.695;49.97;4.300;189.1;3.377;
1-103;1.711;49.97;4.300;189.2;3.399;
1-104;1.728;49.97;4.300;189.4;3.422;
1-105;1.745;49.97;4.200;189.6;3.444;
1-106;1.761;49.97;4.200;189.6;3.466;
1-107;1.778;49.97;4.200;189.8;3.488;
1-108;1.795;49.97;4.200;189.9;3.510;
1-109;1.811;49.97;4.100;190.0;3.532;
1-110;1.828;49.97;4.100;190.2;3.553;
1-111;1.845;49.97;4.000;190.3;3.574;
1-112;1.861;49.97;4.000;190.4;3.595;
1-113;1.878;49.97;4.000;190.5;3.616;
1-114;1.895;49.97;4.000;190.5;3.637;
1-115;1.911;49.97;4.000;190.6;3.658;
1-116;1.928;49.97;4.000;190.7;3.679;
1-117;1.945;49.97;3.900;190.8;3.700;
1-118;1.961;49.97;3.900;190.8;3.720;
1-119;1.978;49.97;3.900;190.9;3.740;
1-120;1.995;49.97;3.900;191.0;3.761;
1-121;2.011;49.97;3.900;191.1;3.781;
1-122;2.028;49.97;3.900;191.2;3.802;
1-123;2.045;49.97;3.900;191.3;3.822;
1-124;2.061;49.97;3.900;191.4;3.842;
1-125;2.078;49.97;3.900;191.5;3.863;
1-126;2.095;49.97;3.900;191.6;3.883;
1-127;2.111;49.97;4.000;191.7;3.904;
1-128;2.128;49.97;3.900;191.9;3.925;
1-129;2.145;49.97;3.900;192.1;3.945;
1-130;2.161;49.97;3.900;192.1;3.965;
1-131;2.178;49.97;3.900;192.2;3.986;
1-132;2.195;49.97;3.900;192.4;4.006;
1-133;2.211;49.97;3.800;192.4;4.026;
1-134;2.228;49.97;3.800;192.6;4.046;
1-135;2.245;49.97;3.800;192.7;4.066;
1-136;2.261;49.97;3.700;192.8;4.086;
1-137;2.278;49.97;3.800;192.9;4.105;
1-138;2.295;49.97;3.800;193.0;4.125;
1-139;2.311;49.97;3.700;193.1;4.145;
1-140;2.328;49.97;3.800;193.2;4.165;
1-141;2.345;49.97;3.700;193.4;4.184;
1-142;2.361;49.97;3.700;193.4;4.204;
1-143;2.378;49.97;3.700;193.5;4.223;
1-144;2.395;49.97;3.800;193.6;4.243;
1-145;2.411;49.97;3.700;193.7;4.262;
1-146;2.428;49.97;3.700;193.8;4.282;
1-147;2.445;49.97;3.700;193.8;4.301;
1-148;2.461;49.97;3.700;193.9;4.320;
1-149;2.478;49.97;3.700;194.0;4.340;
1-150;2.495;49.97;3.700;194.2;4.359;
1-151;2.511;49.97;3.700;194.2;4.378;
1-152;2.528;49.97;3.700;194.4;4.398;
1-153;2.545;49.97;3.700;194.5;4.417;
1-154;2.561;49.97;3.600;194.6;4.436;
1-155;2.578;49.97;3.600;194.8;4.455;
1-156;2.595;49.97;3.600;194.9;4.474;
1-157;2.611;49.97;3.600;194.9;4.493;
1-158;2.628;49.97;3.600;195.0;4.512;
1-159;2.645;49.97;3.600;195.2;4.530;
1-160;2.661;49.97;3.600;195.2;4.549;
1-161;2.678;49.97;3.500;195.2;4.568;
1-162;2.695;49.97;3.500;195.3;4.586;
1-163;2.711;49.97;3.500;195.3;4.604;
1-164;2.728;49.97;3.500;195.5;4.623;
1-165;2.745;49.97;3.400;195.5;4.641;
1-166;2.761;49.97;3.400;195.5;4.659;
1-167;2.778;49.97;3.500;195.6;4.677;
1-168;2.795;49.97;3.500;195.7;4.695;
1-169;2.811;49.97;3.500;195.8;4.713;
1-170;2.828;49.97;3.500;195.8;4.732;
1-171;2.845;49.97;3.500;196.0;4.750;
1-172;2.861;49.97;3.400;196.0;4.768;
1-173;2.878;49.97;3.400;196.1;4.786;
1-174;2.895;49.97;3.400;196.2;4.804;
1-175;2.911;49.97;3.500;196.3;4.822;
1-176;2.928;49.97;3.400;196.3;4.840;
1-177;2.945;49.97;3.400;196.4;4.857;
1-178;2.961;49.97;3.400;196.4;4.875;
1-179;2.978;49.97;3.400;196.6;4.893;
1-180;2.995;49.97;3.300;196.6;4.911;
1-181;3.011;49.97;3.300;196.7;4.928;
1-182;3.028;49.97;3.300;196.7;4.945;
1-183;3.045;49.97;3.300;196.8;4.962;
1-184;3.061;49.97;3.300;196.8;4.980;
1-185;3.078;49.97;3.300;196.9;4.997;
